treatment,paper_label,outcome,n,theta_dml,se_dml,p_dml,rv,rva,bench_domain_authority_cf_y,bench_domain_authority_cf_d,bench_domain_authority_rho,bench_domain_authority_theta_lo,bench_domain_authority_theta_hi,bench_domain_authority_sign_robust,bench_rank_pre_cf_y,bench_rank_pre_cf_d,bench_rank_pre_rho,bench_rank_pre_theta_lo,bench_rank_pre_theta_hi,bench_rank_pre_sign_robust
treat_stats_density,T1,selected,200000,-0.00048300976648219386,0.0003139165088514098,0.12388810750138839,0.003552993493404099,6.065616173615761e-06,,,,,,,,,,,,
treat_question_headings,T2,selected,200000,0.014808633073471349,0.0029406387955677716,4.757184765570917e-07,0.011653734614129021,0.007863060243825753,,,,,,,,,,,,
treat_structured_data,T3,selected,200000,-0.015346899494802625,0.0030603518160628542,5.310244561831202e-07,0.011495517483050504,0.007740022089684475,0.0009812218626174198,0.003891726371012581,0.28401827353243847,-0.017946062774620415,-0.012747736214984836,True,0.019534265132859763,0.0,-1.0,-0.015346899494802625,-0.015346899494802625,True
T4_citation_authority_code,T6,selected,185176,0.0008656714538610638,0.0006971982918801748,0.2143682693607164,0.002996979361626903,4.4398252953520025e-06,,,,,,,,,,,,
treat_topical_comp,T5,selected,200000,0.03914860593904123,0.009545508452962316,4.109076725655061e-05,0.00954790919810864,0.005728236270556418,0.0010412038129190618,0.0,-1.0,0.03914860593904123,0.03914860593904123,True,0.016505876949503135,0.0,1.0,0.03914860593904123,0.03914860593904123,True
treat_freshness,T4,selected,200000,-0.004611253410319276,0.000824152719576324,2.2043831948755167e-08,0.012929332924118632,0.00914624288991268,0.0,0.0010542756411486014,-1.0,-0.004611253410319276,-0.004611253410319276,True,0.019442885103743826,0.0008701558464568966,0.537228823053613,-0.0060694892762084,-0.003153017544430152,True
treat_stats_density,T1,rank_delta,200000,-0.0026649617504648083,0.002653174783844446,0.31516533029345195,0.0024370653609722985,5.03528312735423e-06,,,,,,,,,,,,
treat_question_headings,T2,rank_delta,200000,0.13589814744083756,0.02447664800143575,2.8216896855905886e-08,0.013403819913716267,0.009452419973218409,,,,,,,,,,,,
treat_structured_data,T3,rank_delta,200000,-0.050583120088853316,0.024530124979549862,0.039199965021529365,0.004800453948327292,0.0009721175289671754,,,,,,,,,,,,
T4_citation_authority_code,T6,rank_delta,200000,-0.023415679562606366,0.008739856212604676,0.007380191140538769,0.007809695452364327,0.003011789274788044,,,,,,,,,,,,
treat_topical_comp,T5,rank_delta,200000,-0.5302914170304398,0.0747200308831337,1.2745262526854125e-12,0.016273059976519073,0.012524916981589694,0.001769597830316177,0.0031879616967847163,0.6490226408290282,-0.6071867870985083,-0.45339604696237135,True,0.030669700314107245,0.0,-1.0,-0.5302914170304398,-0.5302914170304398,True
treat_freshness,T4,rank_delta,200000,-0.06076679912208906,0.0065991210903919555,3.312780120085083e-20,0.021457194323674007,0.01765650684788699,,,,,,,,,,,,
treat_stats_density,T1,post_rank,200000,-0.0015497558827398262,0.0018627307698250504,0.40541988910219684,0.0017817705674975405,5.158370004527644e-06,,,,,,,,,,,,
treat_question_headings,T2,post_rank,200000,-0.04075385737019595,0.01867293380714785,0.029071943228689286,0.00492205578744549,0.0012131598844715905,0.0,0.004019925234009217,1.0,-0.04075385737019595,-0.04075385737019595,True,0.0507260486055895,0.0,1.0,-0.04075385737019595,-0.04075385737019595,True
treat_structured_data,T3,post_rank,200000,0.0948644644114097,0.01955218247841658,1.2230856297366693e-06,0.010826264461935025,0.007169474509724023,0.0,0.004909846291446484,-1.0,0.0948644644114097,0.0948644644114097,True,0.05078697505849783,0.0,1.0,0.0948644644114097,0.0948644644114097,True
T4_citation_authority_code,T6,post_rank,200000,-0.015407314949897501,0.006571772350074372,0.019054206867651524,0.006093086005571514,0.0018099551778012655,,,,,,,,,,,,
treat_topical_comp,T5,post_rank,200000,-0.2994827662059234,0.06005237339317261,6.131571746669635e-07,0.011115651498946463,0.0074666918393218274,0.0,0.0037549826377663554,1.0,-0.2994827662059234,-0.2994827662059234,True,0.04564392318438319,0.0,-1.0,-0.2994827662059234,-0.2994827662059234,True
treat_freshness,T4,post_rank,200000,0.005101461448215114,0.005273962205469941,0.3333980819520773,0.0021806956144977863,3.701029539108436e-06,0.00035455418132165,0.003067033083846307,-0.8381724937383941,0.0026625757312262804,0.007540347165203948,True,0.0522379901542078,0.0,-1.0,0.005101461448215114,0.005101461448215114,True
