coef,se,p_val,n,treatment,outcome,seconds,note,coef_pub,se_pub,p_pub,n_pub,d_coef,d_se,dev_in_se,sign_flip
-0.0004772185901755975,0.0003095074022300841,0.1231064345366022,200000,treat_stats_density,selected,78.7,,-0.0004772185901755975,0.0003095074022300841,0.1231064345366022,200000,0.0,0.0,0.0,False
0.015646767199233087,0.00293246802024845,9.517708621231691e-08,200000,treat_question_headings,selected,36.8,,0.015646767199233087,0.00293246802024845,9.517708621231691e-08,200000,0.0,0.0,0.0,False
-0.014102148063001597,0.0030511113588961854,3.801112542722862e-06,200000,treat_structured_data,selected,50.5,,-0.014102148063001597,0.0030511113588961854,3.801112542722862e-06,200000,0.0,0.0,0.0,False
0.0009241234329947731,0.0006989706202833782,0.18612800604060387,185176,T4_citation_authority_code,selected,35.1,,0.0009241234329947731,0.0006989706202833782,0.18612800604060387,185176,0.0,0.0,0.0,False
0.03663944808819014,0.009502099315696701,0.00011528957145601204,200000,treat_topical_comp,selected,88.9,,0.03663944808819014,0.009502099315696701,0.00011528957145601204,200000,0.0,0.0,0.0,False
-0.004741044930149033,0.0008219431821022801,8.017343677835242e-09,200000,treat_freshness,selected,62.0,,-0.004741044930149033,0.0008219431821022801,8.017343677835242e-09,200000,0.0,0.0,0.0,False
-0.0026649617504648066,0.0026531747838444463,0.31516533029345206,200000,treat_stats_density,rank_delta,57.6,,-0.0026649617504648066,0.0026531747838444463,0.31516533029345206,200000,0.0,0.0,0.0,False
0.13589814744083753,0.02447664800143575,2.8216896819088788e-08,200000,treat_question_headings,rank_delta,69.6,,0.13589814744083753,0.02447664800143575,2.8216896819088788e-08,200000,0.0,0.0,0.0,False
-0.05058312008885329,0.024530124979549848,0.03919996502152934,200000,treat_structured_data,rank_delta,87.8,,-0.05058312008885329,0.024530124979549848,0.03919996502152934,200000,0.0,0.0,0.0,False
-0.02341567956260635,0.008739856212604676,0.007380191140538894,200000,T4_citation_authority_code,rank_delta,48.4,,-0.02341567956260635,0.008739856212604676,0.007380191140538894,200000,0.0,0.0,0.0,False
-0.5302914170304402,0.0747200308831337,1.2745360322696797e-12,200000,treat_topical_comp,rank_delta,40.8,,-0.5302914170304402,0.0747200308831337,1.2745360322696797e-12,200000,0.0,0.0,0.0,False
-0.06076679912208902,0.006599121090391953,0.0,200000,treat_freshness,rank_delta,31.3,,-0.06076679912208902,0.006599121090391953,0.0,200000,0.0,0.0,0.0,False
-0.0015497558827398275,0.0018627307698250498,0.4054198891021963,200000,treat_stats_density,post_rank,34.1,,-0.0015497558827398275,0.0018627307698250498,0.4054198891021963,200000,0.0,0.0,0.0,False
-0.04075385737019601,0.018672933807147858,0.029071943228689,200000,treat_question_headings,post_rank,35.3,,-0.04075385737019601,0.018672933807147858,0.029071943228689,200000,0.0,0.0,0.0,False
0.09486446441140965,0.019552182478416575,1.2230856296646664e-06,200000,treat_structured_data,post_rank,33.7,,0.09486446441140965,0.019552182478416575,1.2230856296646664e-06,200000,0.0,0.0,0.0,False
-0.015407314949897501,0.006571772350074373,0.01905420686765158,200000,T4_citation_authority_code,post_rank,28.2,,-0.015407314949897501,0.006571772350074373,0.01905420686765158,200000,0.0,0.0,0.0,False
-0.2994827662059233,0.060052373393172584,6.131571745893183e-07,200000,treat_topical_comp,post_rank,27.7,,-0.2994827662059233,0.060052373393172584,6.131571745893183e-07,200000,0.0,0.0,0.0,False
0.0051014614482151385,0.005273962205469943,0.3333980819520752,200000,treat_freshness,post_rank,111.2,,0.0051014614482151385,0.005273962205469943,0.3333980819520752,200000,0.0,0.0,0.0,False
