,count,mean,std,min,25%,50%,75%,max,n_missing,pct_missing
pre_rank,374.0,18.147058823529413,9.793157287825558,1.0,10.0,18.0,25.0,44.0,622,62.4
post_rank,423.0,8.83451536643026,5.773451265556727,1.0,4.0,8.0,14.0,20.0,573,57.5
rank_delta,374.0,10.093582887700535,7.698355487305643,-17.0,5.0,10.0,15.0,33.0,622,62.4
T1_statistical_density_code,831.0,1.6716245487364623,2.471233267760409,0.0,0.36,0.98,2.16,40.0,165,16.6
T2_question_heading_code,857.0,0.5507584597432905,0.4977073688437445,0.0,0.0,1.0,1.0,1.0,139,14.0
T3_structured_data_code,857.0,0.19019836639439908,0.39268674686771965,0.0,0.0,0.0,0.0,1.0,139,14.0
T4_citation_authority_code,857.0,0.03500583430571762,0.2391325468561758,0.0,0.0,0.0,0.0,4.0,139,14.0
T1_statistical_density_llm,857.0,7.336116785193726,8.456068695839486,0.0,0.0,6.0,12.346,23.91,139,14.0
T2_question_heading_llm,857.0,0.5344224037339557,0.49910496888407757,0.0,0.0,1.0,1.0,1.0,139,14.0
T3_structured_data_llm,857.0,0.38739789964994165,0.4874402639128551,0.0,0.0,0.0,1.0,1.0,139,14.0
T4_citation_authority_llm,857.0,0.25204200700116686,0.7311165817961425,0.0,0.0,0.0,0.0,6.0,139,14.0
X1_domain_authority,950.0,4.4578,1.3060084468426867,0.0,3.66,4.38,5.092499999999999,10.0,46,4.6
X1_global_rank,941.0,1845344.4845908608,9596916.823901068,4.0,5007.0,84281.0,1344657.0,219010836.0,55,5.5
X2_domain_age_years,895.0,20.19675977653631,8.53537189475804,1.3,13.25,21.0,27.2,39.9,101,10.1
X3_word_count,831.0,2110.335740072202,2100.60105664807,3.0,819.5,1457.0,2569.0,17797.0,165,16.6
X4_lcp_ms,0.0,,,,,,,,996,100.0
X6_readability,818.0,13.641613691931541,5.363383889308714,5.61,11.5925,13.14,14.7675,137.57,178,17.9
X7_internal_links,857.0,151.9661610268378,131.9974600553466,0.0,82.0,125.0,186.0,1136.0,139,14.0
X7B_outbound_links,857.0,17.11318553092182,33.08471180738804,0.0,6.0,10.0,19.0,801.0,139,14.0
X8_keyword_difficulty,996.0,4.455411646586345,0.47606757176827996,3.42,4.11,4.43,4.78,5.63,0,0.0
X9_images_with_alt,857.0,34.49358226371062,40.17130687045709,0.0,10.0,22.0,45.0,392.0,139,14.0
X10_https,952.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,44,4.4
